query,rank,doc_id,similarity,url,preview
medical image classification,1,D18971,0.44409148636741114,http://glt.rts.fi/etusivu/rts-ymparistoluokitus/rts-glt-environmental-classification-information-in-english/,"The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commissioning construction projects and who want to build in an environmentally responsible manner. The environmental classification system was developed for Finland, and it takes into account Finnish condition"
medical image classification,2,D08527,0.3671536563139361,https://books.google.rs/books?id=tXxQAAAAMAAJ&amp;hl=sr&amp;source=gbs_book_other_versions_r&amp;cad=4,History of maize classification. How races used in classification. Geographical distribution. Existing races of maize in Mexico.
medical image classification,3,D19908,0.23365401718297651,https://www.wallpapersin4k.org/images/6506,"Download League Of Legends Wallpapers in high-quality for your desktop and smart-phone in wide-screen and HD resolution. Right click on image, and select “Save Image as League Of Legends Wallpapers” to download image to your desktop, laptop. If you are browsing website by mobile device, please tap o"
medical image classification,4,D15682,0.226000508753156,https://itunes.apple.com/us/app/safe-text/id1031914272,"- Group Image: Provided functionality of group's image, user can now view and change the group's image also. - Profile image: User can now set a profile image during sign up process. This is a great app! Love how it keeps history for limited time and allows safety for sensitive texts and information"
medical image classification,5,D08370,0.2205848597800976,https://indiahospitaltour.com/patient-services/second-opinion.html,"What is a Online Medical Second Opinion? For over 25 years, patients and families have looked to We Care India for medical advice and treatment. Now you may consult with our world-renowned physicians from the comfort of your home utilizing the customized second opinion service that is right for you."
transformer language model,1,D27936,0.5004874750526543,http://www.caravan-advice.co.uk/12v-system-on-a-hobby-caravan.html,"hi, I am having problems with transformer / circuit board om my Hobby 720 uml model 2003. In view of the problems, can I bypass the transformer/circuit board ??"
transformer language model,2,D25428,0.2674955133597558,https://www.basicfacebookhelp.com/2018/11/change-facebook-to-english.html,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick a different language for your entire phone. Do this through the Settings app via General > Language "
transformer language model,3,D24482,0.2058119126608478,https://www.eflmagazine.com/interview-harald-kruithof/,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. In 2004, my family and some other families we befriended established a small investment company. Our "
transformer language model,4,D00701,0.20160158782585583,https://www.anadolu.edu.tr/en/academics/faculties/1889/program-in-french-language-teackktc-nationality/program-profile,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently working in the department. The Program in Teaching French as a Foreign Language offers both undergraduat"
transformer language model,5,D04289,0.19970598310655954,http://inkakinada.com/classifieds/rent/commercial-building-74,"Commercial Building Properties, Commercial Buildings for rent in Main Road, Kakinada. G+2 Commercial Building in 62 Square Feet Area is Available For Rent. Furniture, Ac, Transformer, Generator & Two Wheeler Parking Facility is Available. For More Details Contact: 9848160200, 9985800008."
deep learning healthcare,1,D11119,0.3077949954114488,https://www.harmony-alliance.eu/for-patients-carers/4-important-questions-about-big-data-in-health,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analysis using appropriate Big Data analytics offer new ways to accelerate research and to identify the ri
deep learning healthcare,2,D11979,0.30725619274195815,http://www.ciu.edu.tr/en/academic/institute-graduate-studies-and-research/professional-doctorate-programs/healthcare,"Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broaden their knowledge, expand their expertise and develop research skills with a focus on theoretical kn"
deep learning healthcare,3,D06123,0.3059142475926898,https://www.healthcarestudies.nz/Online-Degrees/,"With today’s advancement in technology, it is becoming more convenient than ever before to earn a Bachelor’s degree in a health-related field online. Some specializations, such as nutrition or public health, can be studied entirely online. Other online degrees, such as Bachelor in Dentistry or Bache"
deep learning healthcare,4,D09252,0.2973392209613837,https://www.westhealth.org/press-release/west-health-policy-center-bolsters-commitment-to-lowering-healthcare-costs/,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, MA, MPP, formerly of the Kaiser Family Foundation, as director of health policy at the Gary and Mary"
deep learning healthcare,5,D11777,0.24712215940319418,https://www.nendo.co.ke/post/african-led-vision-journeys-through-passports-digital-products-catalyst-for-transformation-in-healthcare,"It is much cheaper (50–70% cheaper) to fly to Europe, the UAE and sometimes North America than it is to fly within the African continent. There’s a couple of challenges bundled in there. Visas and free movement of people are the subject of many African Union gatherings and regional meetings of state"
natural language processing,1,D25428,0.37410930323452707,https://www.basicfacebookhelp.com/2018/11/change-facebook-to-english.html,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick a different language for your entire phone. Do this through the Settings app via General > Language "
natural language processing,2,D08705,0.3690188772646561,https://foodsafetyhelpline.com/appendix-c-processing-aids/,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in the Official Gazette. In the Food Safety and Standards (Food Products Standards and Food Additives) r"
natural language processing,3,D24482,0.28784090722061073,https://www.eflmagazine.com/interview-harald-kruithof/,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. In 2004, my family and some other families we befriended established a small investment company. Our "
natural language processing,4,D00701,0.28195250307271946,https://www.anadolu.edu.tr/en/academics/faculties/1889/program-in-french-language-teackktc-nationality/program-profile,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently working in the department. The Program in Teaching French as a Foreign Language offers both undergraduat"
natural language processing,5,D04075,0.2767290561623267,https://www.urbanpro.com/gurgaon/urgently-require-spanish-language-instructor-at-home-in-gwal-pahari/12552067,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language is preferred. The Spanish language instructor should be punctual and be willing to work on weekdays"
